stu_id,stu_name,stu_sex,stu_birthday,stu_telephone,major_id
1631607101,谭学飞,男,1999-12-12,13912341234,31607
1631607102,余波,男,1998-6-10,13823457765,31607
1631607103,王洪,男,1998-4-24,17708183344,31607
1631611101,吴江,男,1999-2-10,19923450912,31611
1631611102,王明霞,女,1999-3-13,15823458901,31611
1631611103,胡秋香,女,1999-4-20,17723409871,31611
1631611104,汪诗寒,女,1999-9-28,18909234786,31611
1731613106,江诗敏,女,1999-6-11,13709278939,31613
1731613107,韩霜,女,1998-5-6,15709276589,31613
1631601101,宫雪花,女,1998-8-18,17709365789,31601
1631601102,王伟,男,1999-12-10,13256779833,31601
1631601103,张峰,男,1998-5-18,17797363527,31601
1631601104,李明,男,1998-5-30,13976455283,31601
1631601105,王志鹏,男,1999-6-20,19963544644,31601
1631621101,江云道,男,1999-7-31,19973635534,31621
1631621102,胡晓华,女,1998-3-10,13864552648,31621
1631621103,陈家润,男,1998-4-12,13758575383,31621
